iter	RMSE
281	14101.41217
282	14073.60483
283	14058.42873
284	14055.76234
285	14022.53626
286	13959.0758
287	13940.68867
288	13920.99707
289	13896.87542
290	13875.73974
291	13837.61228
292	13825.53981
293	13793.39081
294	13766.31338
295	13745.3726
296	13723.71055
297	13716.14962
298	13696.04147
299	13686.6865
300	13676.04939
301	13654.18733
302	13650.03252
303	13646.47152
304	13630.1259
305	13602.80585
306	13582.43427
307	13576.05322
308	13560.1071
309	13544.87691
310	13524.21131
311	13519.881
312	13504.22556
313	13474.48396
314	13469.34688
315	13467.50135
316	13461.93378
317	13433.5571
318	13402.10598
319	13385.87401
320	13381.54826
321	13369.17821
322	13355.08794
323	13322.47049
324	13311.11482
325	13307.10386
326	13293.29582
327	13273.71408
328	13233.9665
329	13222.87291
330	13220.05212
331	13200.65486
332	13176.47575
333	13166.24081
334	13161.1086
335	13156.04171
336	13149.69935
337	13128.20049
338	13108.0133
339	13096.17829
340	13062.36968
341	13045.39077
342	13016.56461
343	13000.16509
344	12992.71928
345	12981.52164
346	12977.90576
347	12948.05207
348	12932.34179
349	12916.00544
350	12900.75918
351	12898.28324
352	12887.15749
353	12877.39079
354	12870.23511
355	12861.59653
356	12845.19339
357	12841.97856
358	12829.77648
359	12806.48028
360	12798.7462
361	12795.28537
362	12778.26364
363	12770.96221
364	12762.34245
365	12750.67717
366	12736.26184
367	12722.38634
368	12712.52159
369	12701.54401
370	12688.40488
371	12658.36021
372	12648.45898
373	12640.02269
374	12625.13253
375	12616.69028
376	12608.60024
377	12599.07437
378	12568.78716
379	12568.59657
380	12557.2763
381	12537.85487
382	12521.35521
383	12496.68975
384	12453.41927
385	12441.07647
386	12438.74766
387	12404.58164
388	12385.786
389	12370.65325
390	12362.33167
391	12346.60347
392	12333.43664
393	12312.91603
394	12292.42743
395	12284.78148
396	12262.53428
397	12258.03746
398	12253.39089
399	12246.48648
400	12237.10492
401	12216.38366
402	12182.59419
403	12164.36591
404	12146.44426
405	12133.31671
406	12117.6163
407	12075.15269
408	12056.44997
409	12025.12915
410	12013.28023
411	11999.35201
412	11983.65559
413	11955.45552
414	11938.59567
415	11909.12275
416	11899.05901
417	11892.96894
418	11879.65908
419	11864.10824
420	11834.23784
421	11826.75339
422	11817.59259
423	11807.27184
424	11787.44981
425	11776.96388
426	11768.39714
427	11755.68956
428	11744.40459
429	11733.56476
430	11724.54897
431	11709.05395
432	11704.3961
433	11687.37169
434	11679.29309
435	11646.67584
436	11645.33341
437	11638.14954
438	11631.26133
439	11615.55004
440	11604.00258
441	11598.642
442	11588.82165
443	11580.48837
444	11576.01501
445	11562.46372
446	11537.71224
447	11510.64393
448	11502.78251
449	11490.70873
450	11487.00737
451	11462.66436
452	11456.25578
453	11451.18775
454	11449.98731
455	11433.83533
456	11414.43169
457	11384.96163
458	11372.70746
459	11352.93914
460	11343.42269
461	11338.85515
462	11335.65796
463	11330.88248
464	11316.2757
465	11300.15005
466	11281.57896
467	11273.38266
468	11266.30629
469	11255.52758
470	11245.0271
471	11237.74565
472	11211.633
473	11202.37072
474	11195.33044
475	11180.01876
476	11176.23834
477	11169.07067
478	11157.37106
479	11149.18465
480	11145.77591
481	11100.58959
482	11086.04125
483	11068.82916
484	11062.27384
485	11050.46755
486	11047.74962
487	11036.87673
488	11029.7945
489	11027.80959
490	11020.54144
491	11011.92948
492	10999.37986
493	10965.02267
494	10961.39747
495	10960.54442
496	10938.98893
497	10931.27124
498	10910.70105
499	10904.36189
500	10890.30538
501	10883.48747
502	10871.9228
503	10866.59166
504	10863.46442
505	10859.70583
506	10849.69333
507	10844.36423
508	10839.45285
509	10834.96166
510	10834.02401
511	10822.80069
512	10817.81559
513	10814.96858
514	10805.61106
515	10802.14185
516	10795.64957
517	10785.93656
518	10782.63069
519	10777.91174
520	10773.24043
521	10755.03937
522	10746.74761
523	10729.75114
524	10713.46515
525	10693.80411
526	10677.19055
527	10668.74153
528	10658.83206
529	10651.23124
530	10636.1802
531	10630.63844
532	10626.76017
533	10620.70755
534	10615.70339
535	10611.993
536	10603.12883
537	10598.06163
538	10593.02833
539	10587.50182
540	10583.93264
541	10577.91751
542	10571.93009
543	10569.30504
544	10558.71514
545	10553.474
546	10549.29555
547	10546.35629
548	10533.36309
549	10528.26589
550	10517.83704
551	10515.41402
552	10502.32392
553	10498.31257
554	10485.45762
555	10477.75588
556	10472.75403
557	10460.66201
558	10447.9028
559	10442.48727
560	10433.49002
561	10428.70225
562	10427.63704
563	10424.75686
564	10421.70858
565	10419.35227
566	10402.7943
567	10390.27932
568	10385.24621
569	10379.60081
570	10375.75846
571	10369.03924
572	10364.19225
573	10354.91361
574	10354.39087
575	10349.54769
576	10340.02631
577	10321.10876
578	10315.44676
579	10310.1096
580	10308.04107
581	10300.68351
582	10293.22223
583	10291.31108
584	10282.08543
585	10277.36625
586	10270.08878
587	10253.78669
588	10249.35075
589	10247.50744
590	10237.94629
591	10234.76771
592	10230.15245
593	10220.38097
594	10211.57606
595	10197.97403
596	10193.98519
597	10190.40146
598	10178.77367
599	10170.34956
